osmid,y,x,street_count,highway,ref,geometry
104194105,40.4324369,-79.8905592,1,,,POINT (-79.8905592 40.4324369)
104194115,40.4318234,-79.8913734,1,,,POINT (-79.89137340000001 40.4318234)
104194122,40.43239,-79.8917991,4,,,POINT (-79.8917991 40.43239)
104194129,40.4330975,-79.8923155,3,,,POINT (-79.8923155 40.4330975)
104194342,40.4143628,-79.9295456,3,,,POINT (-79.9295456 40.4143628)
104194402,40.4169236,-79.9324804,3,,,POINT (-79.9324804 40.4169236)
104194450,40.4184435,-79.932882,3,,,POINT (-79.93288200000001 40.4184435)
104195667,40.4440628,-79.8915635,3,,,POINT (-79.8915635 40.4440628)
104195673,40.4436488,-79.8917162,3,,,POINT (-79.8917162 40.4436488)
104195684,40.4432033,-79.89185,4,,,POINT (-79.89185000000001 40.4432033)
104195687,40.4426809,-79.8918225,3,,,POINT (-79.8918225 40.4426809)
104195844,40.394587,-79.9160868,3,,,POINT (-79.9160868 40.394587)
104195865,40.3950892,-79.9153762,3,,,POINT (-79.9153762 40.3950892)
104196404,40.4809395,-79.9287369,4,,,POINT (-79.9287369 40.4809395)
104196413,40.4823823,-79.9282734,4,,,POINT (-79.92827339999999 40.4823823)
104196428,40.4846016,-79.9274997,4,,,POINT (-79.9274997 40.4846016)
104196433,40.4856583,-79.9261371,4,,,POINT (-79.92613710000001 40.4856583)
104196442,40.4875975,-79.9241735,3,,,POINT (-79.92417349999999 40.4875975)
104196599,40.4856991,-79.9248067,3,,,POINT (-79.9248067 40.4856991)
104196608,40.4854013,-79.9251501,4,,,POINT (-79.9251501 40.4854013)
104196616,40.4851524,-79.9254773,3,,,POINT (-79.9254773 40.4851524)
104196887,40.4039913,-79.9908959,3,,,POINT (-79.9908959 40.4039913)
104196932,40.4609327,-79.991845,3,,,POINT (-79.991845 40.4609327)
104196939,40.46102,-79.9913742,1,,,POINT (-79.9913742 40.46102)
104196946,40.4666386,-79.9898807,3,,,POINT (-79.9898807 40.4666386)
104196955,40.4667297,-79.9893728,3,,,POINT (-79.9893728 40.4667297)
104196960,40.4668114,-79.9889258,3,,,POINT (-79.9889258 40.4668114)
104196966,40.4668275,-79.9888332,1,,,POINT (-79.9888332 40.4668275)
104197803,40.4844333,-79.907759,3,,,POINT (-79.907759 40.4844333)
104197837,40.4476767,-80.0076521,4,traffic_signals,,POINT (-80.0076521 40.4476767)
104198588,40.4368354,-79.9546421,3,,,POINT (-79.9546421 40.4368354)
104198595,40.4373203,-79.9541349,3,,,POINT (-79.9541349 40.4373203)
104198857,40.4282209,-79.9492515,4,,,POINT (-79.9492515 40.4282209)
104199188,40.3920989,-79.9003215,3,,,POINT (-79.9003215 40.3920989)
104199196,40.3920407,-79.8972377,4,,,POINT (-79.89723770000001 40.3920407)
104199205,40.3920139,-79.8959674,1,,,POINT (-79.8959674 40.3920139)
104199796,40.4136038,-79.992956,3,,,POINT (-79.99295600000001 40.4136038)
104199801,40.4136209,-79.9919982,3,,,POINT (-79.9919982 40.4136209)
104200794,40.3910073,-79.9994024,3,,,POINT (-79.99940239999999 40.3910073)
104201268,40.4376336,-80.0190891,3,,,POINT (-80.0190891 40.4376336)
104201278,40.4369731,-80.0192396,3,,,POINT (-80.01923960000001 40.4369731)
104201284,40.4364684,-80.019433,3,,,POINT (-80.01943300000001 40.4364684)
104201646,40.4405428,-79.9780372,3,,,POINT (-79.9780372 40.4405428)
104201772,40.4562856,-79.9923871,3,,,POINT (-79.9923871 40.4562856)
104202020,40.4411335,-79.9679696,4,,,POINT (-79.9679696 40.4411335)
104204109,40.3993609,-79.9677296,3,,,POINT (-79.9677296 40.3993609)
104204236,40.398172,-79.9631377,3,,,POINT (-79.9631377 40.398172)
104206768,40.4377418,-79.9484735,3,,,POINT (-79.94847350000001 40.4377418)
104206811,40.4380628,-79.9488724,3,,,POINT (-79.9488724 40.4380628)
104206938,40.4402373,-79.9487549,3,,,POINT (-79.9487549 40.4402373)
104206987,40.4657056,-79.9480583,4,,,POINT (-79.9480583 40.4657056)
104206993,40.466037,-79.9479502,4,,,POINT (-79.94795019999999 40.466037)
104207106,40.4660068,-79.9473844,3,,,POINT (-79.9473844 40.4660068)
104207326,40.4961478,-79.9211618,3,,,POINT (-79.92116179999999 40.4961478)
